time,x,y,z
2.79,-10.04709133,-10.09241366,28.90390949
2.8,-10.04177453,-9.889899389,29.13390767
2.81,-10.01672788,-9.668005443,29.33531929
2.82,-9.972152718,-9.430259729,29.50536561
2.83,-9.908581407,-9.180471618,29.6418875
2.84,-9.826867144,-8.922616382,29.74338626
2.85,-9.728163441,-8.660716468,29.80903802
2.86,-9.613894416,-8.398726246,29.8386822
2.87,-9.48571735,-8.140426304,29.8327865
2.88,-9.345479425,-7.889332322,29.7923917
2.89,-9.195170758,-7.648622136,29.71904134
2.9,-9.036875935,-7.421083068,29.61470121
2.91,-8.872726156,-7.209079996,29.4816741
2.92,-8.70485386,-7.014543256,29.32251451
2.93,-8.5353514,-6.838974312,29.13994758
2.94,-8.366234935,-6.683466363,28.93679533
2.95,-8.19941431,-6.54873654,28.71591248
2.96,-8.036669286,-6.435166306,28.48013306
2.97,-7.879632142,-6.342846713,28.23222819
2.98,-7.729776348,-6.271625588,27.97487461
2.99,-7.5884108,-6.221154122,27.71063327
3,-7.456678927,-6.190930886,27.44193657
3.01,-7.335561879,-6.18034181,27.17108304
3.02,-7.225884991,-6.188695146,26.90023794
3.03,-7.128326677,-6.215250845,26.63143837
3.04,-7.043429012,-6.259244162,26.36660177
3.05,-6.971609257,-6.319903511,26.10753642
3.06,-6.913171731,-6.396462842,25.85595332
3.07,-6.868319474,-6.488168902,25.61347835
3.08,-6.837165263,-6.594283826,25.38166419
3.09,-6.819741623,-6.714083548,25.16200154
3.1,-6.816009545,-6.84685251,24.955929
3.11,-6.825865717,-6.991875138,24.76484144
3.12,-6.849148115,-7.148424552,24.59009642
3.13,-6.88563987,-7.315748921,24.43301836
3.14,-6.935071376,-7.4930559,24.29490023
3.15,-6.997120638,-7.679495566,24.17700241
3.16,-7.071411904,-7.87414229,24.08054842
3.17,-7.157512677,-8.075976024,24.00671725
3.18,-7.254929221,-8.283863563,23.95663191
3.19,-7.363100735,-8.496540398,23.931344
3.2,-7.48139241,-8.712593895,23.93181401
3.21,-7.609087651,-8.930448686,23.95888713
3.22,-7.745379789,-9.148355233,24.0132647
3.23,-7.889363697,-9.364382725,24.09547118
3.24,-8.040027783,-9.576417536,24.20581731
3.25,-8.196246925,-9.782168561,24.34435983
3.26,-8.35677697,-9.979180784,24.51085905
3.27,-8.5202515,-10.16485835,24.70473549
3.28,-8.685181604,-10.33649821,24.92502765
3.29,-8.849959419,-10.49133515,25.17035311
3.3,-9.012866183,-10.62659836,25.43887582
3.31,-9.172085452,-10.73957938,25.72828249
3.32,-9.325722029,-10.82770997,26.0357715
3.33,-9.471826897,-10.88864791,26.35805731
3.34,-9.60842821,-10.9203676,26.69139323
3.35,-9.733568023,-10.92125124,27.03161471
3.36,-9.845344033,-10.89017571,27.37420419
3.37,-9.941955187,-10.82658962,27.71437733
3.38,-10.02174957,-10.73057477,28.04718874
3.39,-10.08327263,-10.60288681,28.36765369
3.4,-10.12531345,-10.44497053,28.67088086
3.41,-10.14694678,-10.25894664,28.95220943
3.42,-10.1475683,-10.04756917,29.20734332
3.43,-10.12692114,-9.814154043,29.43247489
3.44,-10.0851118,-9.562482426,29.62439082
3.45,-10.02261428,-9.296683734,29.78055421
3.46,-9.940262055,-9.021105293,29.89915829
3.47,-9.839228036,-8.74017631,29.97914966
3.48,-9.720993523,-8.458274144,30.02022092
3.49,-9.587307838,-8.179600352,30.022775
3.5,-9.440140718,-7.908072783,29.98786527
3.51,-9.281629945,-7.64723841,29.91711674
3.52,-9.114026792,-7.400209646,29.81263472
3.53,-8.939641775,-7.169625009,29.67690708
3.54,-8.760792968,-6.957633235,29.51270607
3.55,-8.579758774,-6.765898507,29.3229947
3.56,-8.398736579,-6.595623465,29.11084159
3.57,-8.219808225,-6.447586065,28.87934708
3.58,-8.044912788,-6.3221862,28.63158194
3.59,-7.875826691,-6.219498127,28.37053927
3.6,-7.714150834,-6.139325169,28.09909908
3.61,-7.56130414,-6.08125372,27.82000453
3.62,-7.418522732,-6.044704205,27.53584847
3.63,-7.286863806,-6.028977297,27.24906835
3.64,-7.167213268,-6.033294264,26.96194812
3.65,-7.060296167,-6.056830829,26.67662522
3.66,-6.966689037,-6.098744348,26.39510124
3.67,-6.886833328,-6.158194404,26.11925508
3.68,-6.821049214,-6.234357135,25.8508573
3.69,-6.769549171,-6.32643379,25.59158492
3.7,-6.732450808,-6.433654023,25.34303594
3.71,-6.709788571,-6.555274516,25.10674294
3.72,-6.701523991,-6.690573474,24.88418536
3.73,-6.707554259,-6.838841549,24.67680013
3.74,-6.727718966,-6.999369649,24.48599023
3.75,-6.761804912,-7.171434129,24.31313091
3.76,-6.809548938,-7.354279756,24.15957341
3.77,-6.870638771,-7.547100886,24.02664565
3.78,-6.94471194,-7.749021259,23.91564979
3.79,-7.03135281,-7.959072875,23.82785614
3.8,-7.130087874,-8.176174448,23.76449314
3.81,-7.24037944,-8.39911006,23.72673314
3.82,-7.361617929,-8.626508698,23.71567336
3.83,-7.493113035,-8.856825567,23.73231206
3.84,-7.634084069,-9.088326167,23.77751953
3.85,-7.783649898,-9.319074339,23.8520039
3.86,-7.94081894,-9.546925624,23.95627207
3.87,-8.104479803,-9.769527435,24.09058607
3.88,-8.273393218,-9.984327625,24.25491588
3.89,-8.446186035,-10.18859302,24.44888997
3.9,-8.621348087,-10.37943944,24.6717454
3.91,-8.797232818,-10.55387435,24.92227989
3.92,-8.972062563,-10.70885297,25.1988087
3.93,-9.14393931,-10.84134792,25.49912995
3.94,-9.310861704,-10.94843167,25.82050179
3.95,-9.470748826,-11.02736994,26.15963565
3.96,-9.621471008,-11.07572307,26.51270887
3.97,-9.760887586,-11.09145116,26.87540006
3.98,-9.886891031,-11.07301754,27.24294917
3.99,-9.997456401,-11.01948441,27.61024285
4,-10.09069453,-10.93059375,27.97192419
4.01,-10.16490686,-10.80682685,28.32252355
4.02,-10.21863948,-10.64943659,28.65660536
4.03,-10.25073352,-10.46044772,28.96892396
4.04,-10.26036918,-10.24262273,29.25457996
4.05,-10.24710059,-9.99939334,29.50916813
4.06,-10.21087932,-9.734760206,29.72890779
4.07,-10.15206475,-9.453166243,29.91074775
4.08,-10.07142041,-9.159351007,30.0524397
4.09,-9.970096267,-8.85819515,30.15257633
4.1,-9.849597802,-8.554564493,30.21059325
4.11,-9.711743557,-8.253162999,30.22673662
4.12,-9.558613481,-7.958402668,30.20200071
4.13,-9.392490891,-7.674296578,30.13804159
4.14,-9.215801073,-7.404378994,30.03707424
4.15,-9.031049499,-7.151654127,29.90176052
4.16,-8.840762417,-6.918572877,29.7350955
4.17,-8.647432138,-6.707035101,29.54029822
4.18,-8.453468836,-6.518413552,29.32071182
4.19,-8.261160064,-6.353594876,29.07971671
4.2,-8.072638661,-6.213032724,28.82065852
4.21,-7.889859154,-6.096808237,28.54679163
4.22,-7.714582343,-6.004693585,28.2612378
4.23,-7.548367394,-5.93621495,27.96695865
4.24,-7.392570541,-5.890712101,27.66674026
4.25,-7.24834932,-5.867392505,27.36318792
4.26,-7.116671238,-5.86537862,27.05872886
4.27,-6.998325746,-5.883747647,26.75562108
4.28,-6.893938489,-5.921563523,26.45596643
4.29,-6.803986868,-5.977901302,26.16172652
4.3,-6.728816095,-6.051864334,25.87473998
4.31,-6.66865502,-6.142594827,25.5967403
4.32,-6.623631176,-6.24927845,25.32937327
4.33,-6.593784558,-6.371143646,25.07421343
4.34,-6.579079804,-6.507456331,24.83277919
4.35,-6.579416508,-6.657510571,24.60654607
4.36,-6.594637499,-6.820615808,24.39695786
4.37,-6.624534966,-6.996081119,24.20543541
4.38,-6.668854376,-7.183196937,24.03338277
4.39,-6.727296172,-7.381214665,23.88219033
4.4,-6.799515291,-7.589324553,23.75323479
4.41,-6.885118548,-7.806632263,23.64787537
4.42,-6.983659991,-8.03213457,23.56744606
4.43,-7.094634376,-8.264694739,23.51324334
4.44,-7.21746892,-8.503018237,23.48650903
4.45,-7.351513578,-8.745629581,23.48840773
4.46,-7.496030142,-8.990851323,23.51999858
4.47,-7.650180519,-9.236786347,23.58220112
4.48,-7.813014663,-9.481304917,23.67575506
4.49,-7.983458718,-9.722038072,23.8011744
4.5,-8.160304034,-9.956379176,23.95869633
4.51,-8.342197851,-10.18149552,24.14822613
4.52,-8.527636541,-10.39435189,24.3692796
4.53,-8.714962373,-10.59174778,24.62092541
4.54,-8.902364866,-10.77036977,24.9017303
4.55,-9.087887744,-10.92685969,25.20971074
4.56,-9.2694425,-11.05789871,25.54229525
4.57,-9.44482939,-11.16030601,25.896302
4.58,-9.611766428,-11.23114967,26.26793614
4.59,-9.767926615,-11.26786559,26.65281138
4.6,-9.910983108,-11.2683792,27.04599893
4.61,-10.03866154,-11.23122289,27.44210618
4.62,-10.14879802,-11.15564141,27.83538492
4.63,-10.2394007,-11.04167712,28.21986727
4.64,-10.30871235,-10.89022712,28.58952435
4.65,-10.35527074,-10.70306571,28.93844081
4.66,-10.37796354,-10.48282749,29.26099585
4.67,-10.37607443,-10.2329495,29.55204013
4.68,-10.34931735,-9.957573656,29.80705766
4.69,-10.29785649,-9.66141447,30.02230217
4.7,-10.22231037,-9.349599724,30.19489942
4.71,-10.12373956,-9.02749426,30.32290951
4.72,-10.0036183,-8.700518249,30.40534652
4.73,-9.86379189,-8.373971412,30.44215632
4.74,-9.706421971,-8.052873653,30.43415645
4.75,-9.533923104,-7.741830564,30.38294501
4.76,-9.34889398,-7.444929614,30.29078662
4.77,-9.154046928,-7.165669938,30.16048485
4.78,-8.952139087,-6.906925803,29.99525004
4.79,-8.74590819,-6.670941378,29.79857047
4.8,-8.538015313,-6.459352584,29.57409339
4.81,-8.330996242,-6.273230631,29.32552063
4.82,-8.127222428,-6.113141328,29.05652144
4.83,-7.92887182,-5.979214325,28.77066394
4.84,-7.737909327,-5.871216962,28.47136453
4.85,-7.556076205,-5.788628182,28.16185418
4.86,-7.384887342,-5.730708942,27.84515937
4.87,-7.22563522,-5.696566498,27.52409539
4.88,-7.079399249,-5.685210843,27.20126932
4.89,-6.947059169,-5.695602391,26.8790904
4.9,-6.829311269,-5.726690586,26.55978558
4.91,-6.726686311,-5.777443627,26.24541844
4.92,-6.639568157,-5.846869802,25.93790978
4.93,-6.56821229,-5.934031146,25.6390589
4.94,-6.512763518,-6.03805022,25.35056452
4.95,-6.473272348,-6.15811084,25.0740446
4.96,-6.449709612,-6.293453553,24.81105472
4.97,-6.441979036,-6.443366571,24.56310451
4.98,-6.449927573,-6.607172826,24.3316719
4.99,-6.473353337,-6.784213669,24.11821492
5,-6.512011104,-6.973829715,23.92418085
5.01,-6.565615335,-7.175339211,23.75101245
5.02,-6.633840754,-7.388014326,23.60015086
5.03,-6.716320522,-7.61105569,23.47303504
5.04,-6.8126421,-7.843565597,23.37109703
5.05,-6.922340904,-8.084520296,23.29575284
5.06,-7.044891907,-8.332741929,23.2483882
5.07,-7.179699376,-8.586870836,23.23033874
5.08,-7.32608501,-8.845339095,23.24286411
5.09,-7.483274787,-9.10634645,23.28711542
5.1,-7.650384946,-9.367839995,23.36409583
5.11,-7.826407619,-9.627499294,23.47461402
5.12,-8.010196748,-9.882728847,23.61923103
5.13,-8.200455072,-10.13066006,23.79820087
5.14,-8.395723093,-10.36816505,24.01140637
5.15,-8.594371065,-10.59188447,24.25829222
5.16,-8.79459517,-10.79827166,24.53779786
5.17,-8.994419104,-10.98365457,24.84829392
5.18,-9.191702324,-11.14431661,25.18752666
5.19,-9.384156097,-11.27659602,25.55257541
5.2,-9.569368343,-11.37700256,25.93982863
5.21,-9.744837909,-11.44234786,26.34498413
5.22,-9.908018465,-11.46988473,26.76307859
5.23,-10.05637163,-11.4574482,27.18855011
5.24,-10.1874282,-11.40358991,27.61533618
5.25,-10.29885567,-11.30769612,28.03700648
5.26,-10.38852929,-11.17007946,28.44692737
5.27,-10.45460351,-10.99203504,28.83845157
5.28,-10.49557991,-10.77585356,29.20512364
5.29,-10.51036757,-10.52478669,29.54088961
5.3,-10.49833216,-10.24296369,29.84029739
5.31,-10.45933006,-9.935262583,30.09867483
5.32,-10.39372508,-9.607142869,30.31227347
5.33,-10.30238629,-9.264450597,30.47836845
5.34,-10.18666662,-8.913208794,30.59530924
5.35,-10.04836343,-8.559407329,30.66251938
5.36,-9.889663407,-8.208805788,30.68044832
5.37,-9.713074996,-7.866761072,30.65048182
5.38,-9.521352466,-7.538088521,30.5748201
5.39,-9.317415818,-7.226961865,30.45633473
5.4,-9.104270759,-6.936853651,30.29841543
5.41,-8.884932522,-6.670514541,30.10481709
5.42,-8.662356681,-6.429987172,29.87951577
5.43,-8.439379305,-6.216648513,29.62658037
5.44,-8.218667924,-6.031273641,29.35006402
5.45,-8.00268398,-5.874113755,29.05391739
5.46,-7.793656684,-5.744981675,28.74192394
5.47,-7.593567625,-5.643338992,28.41765586
5.48,-7.404145014,-5.568380175,28.08444823
5.49,-7.226866195,-5.51911016,27.74538866
5.5,-7.06296688,-5.494413072,27.4033192
5.51,-6.913455564,-5.493110799,27.06084755
5.52,-6.779131628,-5.514010902,26.72036491
5.53,-6.660605768,-5.555944019,26.38406803
5.54,-6.558321546,-5.617791337,26.05398367
5.55,-6.472577069,-5.69850298,25.73199382
5.56,-6.403545945,-5.797108303,25.41986075
5.57,-6.351296881,-5.912719102,25.11925086
5.58,-6.315811415,-6.044526735,24.83175699
5.59,-6.296999427,-6.191794016,24.55891859
5.6,-6.29471219,-6.353842692,24.30223967
5.61,-6.308752786,-6.530037122,24.06320419
5.62,-6.338883832,-6.719764721,23.8432888
5.63,-6.384832459,-6.922413593,23.64397267
5.64,-6.446292577,-7.137347708,23.46674419
5.65,-6.522924443,-7.363879945,23.31310418
5.66,-6.614351632,-7.601243299,23.18456526
5.67,-6.720155463,-7.848560588,23.08264689
5.68,-6.839867027,-8.104813072,23.00886542
5.69,-6.972956955,-8.368808536,22.9647186
5.7,-7.118823121,-8.639149558,22.95166383
5.71,-7.276776545,-8.914202922,22.97108942
5.72,-7.446025831,-9.192071433,23.02427833
5.73,-7.625660582,-9.470569695,23.11236379
5.74,-7.814634357,-9.747205777,23.23627669
5.75,-8.01174788,-10.01917103,23.39668479
5.76,-8.215633373,-10.28334065,23.59392451
5.77,-8.424741065,-10.53628766,23.82792671
5.78,-8.637329089,-10.77431333,24.09813857
5.79,-8.85145812,-10.99349642,24.40344487
5.8,-9.064992225,-11.18976359,24.74209295
5.81,-9.275607411,-11.35898219,25.11162654
5.82,-9.480809263,-11.49707526,25.50883468
5.83,-9.677960875,-11.60015716,25.92972249
5.84,-9.864321878,-11.66468592,26.3695106
5.85,-10.0370988,-11.68762597,26.82266932
5.86,-10.19350633,-11.66661305,27.28299265
